Instructions,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure each row contains an item name; an item and its variations have the same category and description; GTINs are 8,12, 13, or 14 characters and contain numbers only; and every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
S3TBZAMRT3VTEVO3UNZTE3J6,Potli Bag - Chikaan,Regular,PBC100003,"Carry this Potli Bag to a party, Puja, wedding, or any joyous event to look fabulous and awe your friends.
Dimension: Length - 6.5 in; Height - 9 in, Base - 4.5 in | Weight: 35g",Gift Bags,visible,,3.00,Y,,,,24,,,,Y
YJG7BQZEFJHBNSFK4Q4EL26S,Potli Bag - Embroidery,Regular,PBE100003,"This beautiful floral-designed bag has ample room to carry anything you need, from your phone to emergency cosmetics. This bag is a lovely statement piece to add to your ensemble. - Material: Raw Silk - Dimension: Length - 6.2 in, Height - 9 in, Base - 4.5 in | Weight: 40g",Gift Bags,visible,,3.00,Y,,,,15,,,,Y
JXBUEETLVOS7UJCWWVYTUWM2,Potli Bag - Polka Dots,Regular,PBZ100003,"Fill this pouch with chocolates, candy, dried fruits, and other favors, or use it to keep your valuables safe. This bag is gorgeous and perfect for gifting to yourself and friends. - Dimensions: Height - 9 in; Length - 6.5 in | Weight: 250g",Gift Bags,visible,,3.00,Y,,,,35,,,,Y
WQMX2C4VHCCEO46O63MLL6WG,Potli Bag - Zari,Regular,PBZ100003,This fashionable bag with a lace handle and tassels are a nice touch that completes the design and surely a stylish addition to your outfit.,Gift Bags,visible,,5.00,Y,,,,-28,,,,Y
2Z5M5PL2GFHI3SUKQY53VDD7,Priya,Regular,PRY100003,"This multi-purpose, Oxidized Silver plated, organizer is the perfect return gift for events like weddings, coming of age, housewarmings, baby showers, and others. This organizer could be used for utensils in the kitchen, makeup brushes, and stationery items.
Item : Utility Stand 
Set Contains : 1 Organizer
Dimension : Height - 4 inch
Color : Silver
Material : Brass
Weight : 0.25 lb
Care instructions : Product may oxidize over a period of time due to chemical reactions. Keep away from water; use dry cloth for dusting.",Home Essentials,visible,0.3,5.00,Y,,,,7,,,,Y
DB6XJF3DQUHHIZ2JFMNYBKJS,Purse - Peacock,Regular,PRPK100003,"A colorful peacock print adorns the entire bag, adding to its allure. Flaunt your new favorite handbag a events to look glamorous and awe your friends.
- Material: Raw Silk
- Dimension: Length - 8.5 in; Height - 7 in | Weight: 60g",Gift Bags,visible,,7.00,Y,,,,12,,,,Y
PMF2WX642JERXXMWGAZAIKVQ,Pushpa,Regular,PSBG100003,"The exquisite decorations on this German Silver bowl and spoon set from Jaipur, reflect the state's vibrancy. Pushpa adds opulence to every celebration even when serving, dried fruits, chocolates, and mouth fresheners. It is a premade gift item presented in a red velvet box, with a Jaipur handcrafted bowl and spoon that gives the set a classic Indian appeal.
Item : German Silver Bowl
Set Contains : Bowl + 1 Spoon
Weight : 0.37 lb
Care instructions : Store it in the velvet box after use. Product may oxidize over a period of time due to chemical reactions.",German Silver Collection,visible,0.4,5.00,Y,,,,0,,Y,,Y
54D67KTEDKERN3HRUE7XMEBP,Sana,Multicolor,SNA160002,"Your visitors will be ecstatic to see chai being served how it was back home. The tea glasses in the tea stand are all different colors, giving it a unique appeal. This fantastic set includes six chai glasses and an iron stand. This set will make you feel like you're in an Indian dhaba (restaurant). These chai glasses can be used for both hot and cold drinks. This is a product that you can use on a regular basis. Replace your normal tea cups with these one-of-a-kind cutting chai glasses that are sure to impress your guests. Perfect for sweets and small tastings.
Highly chip resistant and durable, dishwasher safe, lead and cadmium free
Package Contents: 6-Glasses & 1 Holder
Made by Premium Quality Ceramic
Microwave Safe
Size : 7.5 x 5 x 8 inch
Item : Tea Set
In the Box : Set of 6 Glasses with one stand
Care Instructions : Handle with caution while using ceramic products because they are brittle. When cleaning ceramic objects, avoid using metal scrubbers or strong chemicals.",Home Essentials,visible,1.9,40.00,Y,,,,10,,,,Y
DZK4YWKOUJZU6WWXOHMFK3Y5,Siri,Regular,SRI100002,"A gorgeous Minakari jewellery box is ideal for storing your valuable jewelry. The self-carved floral designs and patterns that adorn the entire body of the box are eye-catching, while the red velvet cushioning gives the interior a delicate appearance. Minakari Jewelry Boxes are designed as return gifts for weddings, engagements, baby showers, and other special occasions. Siri can be given as a unique gift to loved ones, to help them remember significant occasions throughout their lives.
Item : Jewelery Box
Dimension : Length - 4 inch ; Height - 2 inch ; Width - 4 inch. Weight : 0.54 lb
Care Instructions : Keep away from water; use dry cloth for dusting.",Minakari Collection,visible,0.54,5.00,Y,,,,,,,,Y
SMJ6DPNZ4TNIJNNE7OVMA5NU,Suha,One,SUH100002,"Are you unsure how to package your return gifts for your guests? Look no further, as Bahumati offers custom-made options for packing your gifts in stunning packaging bags.  Put your return gifts in these beautiful fabric bags and amaze your guests.
Item : Gift Bundle
Weight : 1.0 lb Material : bag made of fabric
Combo contains :
One Polka dotted Potli Bag
One Double Peacock design fibre plate
One small box",Bahumati Bundles,visible,1,14.00,Y,,,,,,,,Y
ZSZIGSSTJNY4UBGMPEX2OOG5,Varna,One,VRN100001,"This box is made of white metal with intricate Minakari Designs adorning this round stainless steel dabba, even including a lovely Flower Minakari design on the top. The box can be easily opened and closed due to the metal clasp lock. Because of its elegant form, it can be used as the centerpiece of a dinner table which has various utilities.
Item : Utility Container
Weight : 1.61 lb 
Material : made of stainless steel box with antique finish
Care Instructions : Wash well under running water. At last clean with a Dry Cotton Cloth. Do not use steel wool or wire mesh for cleaning.",Minakari Collection,visible,1.61,10.00,Y,,,,0,,,,Y
KNUPCCQJVSZDPYB6YHPXLHS5,Vibha,Regular,VBA100001,"Are you unsure how to package your return gifts for your guests? Look no further, as Bahumati offers custom-made options for packing your gifts in stunning packaging bags.  Put your return gifts in these beautiful fabric bags and amaze your guests.
Item: Gift Bundle
Combo Contains:
One Polka Dotted Gift Bag
One Fabric - Banarasi Brocade Silk (Blouse Piece)
One small box",Bahumati Bundles,visible,0.7,10.00,Y,,,,17,,,,Y
OTB365EMLWOWGZ5HNNBLOYCG,Yukthi,One,YKT100001,"High-quality single-compartment resin jewelry box with elegant inscriptions and complementary color patterns, which adds to the variety of display collections. The metal woven design that adorns the entire body of the box is eye-catching, while the red velvet cushioning gives the interior a delicate appearance. A gorgeous wooden jewelry box is ideal for storing your valuable jewelry. 
Item : Jewelry Box
Dimension : Length - 4 inch ; Height - 2 inch ; Width - 4 inch. Weight : 0.54 lb
Care Instructions : Product may oxidize over a period of time due to chemical reactions.",Home Essentials,visible,0.55,6.00,Y,,,,10,,,,Y
